OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
33-9021,Private Detectives and Investigators,28860,40290.0,59380.0,77540.0,0.7483108
33-9031,Gambling Surveillance Officers and Gambling Investigators,9190,29470.0,35450.0,39790.0,0.7283933
33-9032,Security Guards,1057100,28890.0,31470.0,39170.0,-0.3908421
33-9091,Crossing Guards and Flaggers,82690,28660.0,31450.0,39160.0,-0.5699511
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",114320,22140.0,25630.0,29820.0,-0.4718385
33-9093,Transportation Security Screeners,48320,41560.0,45470.0,49360.0,-0.5068558
33-9099,"Protective Service Workers, All Other",100110,31190.0,38210.0,47760.0,0.0764088
35-1011,Chefs and Head Cooks,129810,39130.0,50160.0,65340.0,-0.2676433
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1040600,29430.0,36570.0,46840.0,-0.2575492
35-2011,"Cooks, Fast Food",768130,21610.0,24180.0,29510.0,-0.7131837
35-2012,"Cooks, Institution and Cafeteria",392860,24500.0,29910.0,36760.0,-0.6360813
35-2013,"Cooks, Private Household",440,30160.0,42920.0,51260.0,-0.7867444
35-2014,"Cooks, Restaurant",1193860,27810.0,30010.0,36480.0,-0.7418264
35-2015,"Cooks, Short Order",124800,22880.0,28560.0,31050.0,-0.5933817
35-2021,Food Preparation Workers,783350,23520.0,28780.0,31340.0,-1.226416
35-3011,Bartenders,485330,20560.0,26350.0,34120.0,-0.6159883
35-3031,Waiters and Waitresses,1804030,20020.0,26000.0,30850.0,-0.9481003
35-3041,"Food Servers, Nonrestaurant",243030,23970.0,28730.0,31670.0,-0.7270206
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,336970,22240.0,27170.0,30280.0,-1.927078
35-9021,Dishwashers,377040,22920.0,28130.0,30160.0,-1.738612
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",324690,21750.0,24600.0,29450.0,-0.0565477
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,153640,33710.0,39630.0,50440.0,-0.5854128
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",116380,38880.0,48800.0,62200.0,-0.5548871
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2036680,24550.0,29760.0,36730.0,-1.436201
37-2012,Maids and Housekeeping Cleaners,723430,23470.0,28780.0,30960.0,-1.480657
37-2021,Pest Control Workers,85370,30520.0,37540.0,46700.0,-0.7255374
37-3011,Landscaping and Groundskeeping Workers,892450,29360.0,34430.0,38100.0,-1.824293
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",25820,33580.0,38270.0,46240.0,-0.8847935
37-3013,Tree Trimmers and Pruners,41920,38110.0,46970.0,58160.0,-1.727035
39-2011,Animal Trainers,15840,28110.0,31280.0,44630.0,-0.9167759
39-2021,Animal Caretakers,225680,23160.0,28600.0,31130.0,-0.8890408
39-3011,Gambling Dealers,64700,18600.0,24960.0,29990.0,0.0605832
39-3012,Gambling and Sports Book Writers and Runners,7340,22910.0,27530.0,33020.0,0.4652752
39-3021,Motion Picture Projectionists,1620,24960.0,29350.0,37450.0,-0.3786598
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",54970,20650.0,24440.0,29750.0,-0.2420959
39-3091,Amusement and Recreation Attendants,262170,21700.0,24500.0,29480.0,-0.5246153
39-3092,Costume Attendants,3380,31380.0,47850.0,76940.0,-0.4533608
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",9670,23220.0,28570.0,33300.0,-0.3454376
39-4011,Embalmers,4070,37380.0,47780.0,61200.0,-0.7311451
39-4021,Funeral Attendants,32490,24490.0,29230.0,35840.0,-0.5445412
39-4031,"Morticians, Undertakers, and Funeral Arrangers",24700,37880.0,48950.0,63820.0,-0.1903759
39-5011,Barbers,12910,26300.0,29970.0,44730.0,-0.7294621
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",285980,23960.0,29670.0,38790.0,-0.6824517
39-5091,"Makeup Artists, Theatrical and Performance",1960,78850.0,134750.0,164560.0,-0.4596138
39-5092,Manicurists and Pedicurists,120540,26420.0,29210.0,31100.0,0.0335124
39-5093,Shampooers,9560,22070.0,24440.0,28860.0,-0.905371
39-5094,Skincare Specialists,50580,29240.0,37300.0,47490.0,-0.2628396
39-6011,Baggage Porters and Bellhops,20530,23320.0,29120.0,34790.0,-1.272015
39-6012,Concierges,33560,29660.0,35210.0,45070.0,0.855832
