OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
11-1021,General and Operations Managers,3507810,65180.0,101280.0,160290.0,0.5748773
11-2011,Advertising and Promotions Managers,20630,88810.0,131870.0,188530.0,1.294387
11-2021,Marketing Managers,368940,108000.0,157620.0,208000.0,1.315032
11-2022,Sales Managers,575880,93540.0,135160.0,196700.0,1.26628
11-3021,Computer and Information Systems Managers,592600,131770.0,169510.0,214050.0,1.059853
11-3031,Financial Managers,787340,110190.0,156100.0,210830.0,1.446232
11-3051,Industrial Production Managers,222890,91590.0,116970.0,151220.0,0.5086878
11-3061,Purchasing Managers,77530,105300.0,136380.0,172110.0,1.423426
11-3071,"Transportation, Storage, and Distribution Managers",198780,76120.0,99200.0,133090.0,0.8907923
11-3111,Compensation and Benefits Managers,18690,102540.0,136380.0,181030.0,1.298235
11-3121,Human Resources Managers,200600,103340.0,136350.0,182120.0,1.320417
11-3131,Training and Development Managers,41540,94240.0,125040.0,166780.0,1.284423
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6150,63510.0,83770.0,109090.0,-0.1443684
11-9021,Construction Managers,329190,81640.0,104900.0,135550.0,1.029139
11-9031,"Education and Childcare Administrators, Preschool and Daycare",64090,44420.0,54290.0,69350.0,0.838007
11-9032,"Education Administrators, Kindergarten through Secondary",302580,83050.0,103460.0,131180.0,1.048811
11-9033,"Education Administrators, Postsecondary",167270,79700.0,102610.0,137230.0,1.461149
11-9039,"Education Administrators, All Other",50690,64800.0,88460.0,120120.0,0.3541265
11-9041,Architectural and Engineering Managers,207800,132890.0,165370.0,203030.0,0.8370105
11-9051,Food Service Managers,246070,50390.0,63060.0,79630.0,-0.1213112
11-9071,Gambling Managers,4590,65210.0,82380.0,113720.0,0.8299207
11-9081,Lodging Managers,41980,49380.0,65360.0,87930.0,0.4021726
11-9111,Medical and Health Services Managers,515100,86080.0,110680.0,157640.0,1.260259
11-9121,Natural Sciences Managers,96520,109300.0,157740.0,212080.0,1.327906
11-9131,Postmasters and Mail Superintendents,13810,82990.0,88670.0,95660.0,0.8233757
11-9141,"Property, Real Estate, and Community Association Managers",284120,47940.0,62850.0,92560.0,1.215396
11-9151,Social and Community Service Managers,173650,60860.0,77030.0,98740.0,1.156153
11-9161,Emergency Management Directors,11910,62630.0,83960.0,112190.0,1.030768
11-9199,"Managers, All Other",589750,97990.0,133560.0,174510.0,0.9646872
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12870,62280.0,84900.0,129930.0,1.068559
13-1031,"Claims Adjusters, Examiners, and Investigators",293780,58770.0,75050.0,91100.0,1.274024
13-1032,"Insurance Appraisers, Auto Damage",8670,63690.0,74520.0,82740.0,0.6634955
13-1041,Compliance Officers,383620,56180.0,75670.0,100340.0,0.6981205
13-1051,Cost Estimators,220970,57130.0,74740.0,96740.0,1.367669
13-1071,Human Resources Specialists,895970,51510.0,67650.0,92390.0,1.36005
13-1074,Farm Labor Contractors,460,31970.0,45730.0,63980.0,-0.4354025
13-1075,Labor Relations Specialists,62800,65650.0,89980.0,120610.0,1.334834
13-1081,Logisticians,228470,61440.0,79400.0,101890.0,1.297303
13-1111,Management Analysts,838140,74540.0,99410.0,130800.0,1.432417
13-1121,"Meeting, Convention, and Event Planners",122130,43450.0,56920.0,74510.0,0.3740207
13-1131,Fundraisers,101730,49560.0,64160.0,83120.0,1.242567
13-1141,"Compensation, Benefits, and Job Analysis Specialists",99850,56890.0,74530.0,97960.0,1.440985
13-1151,Training and Development Specialists,403480,47510.0,64340.0,87890.0,1.198409
13-1161,Market Research Analysts and Marketing Specialists,846370,52840.0,74680.0,102450.0,1.426757
13-1199,"Business Operations Specialists, All Other",1103440,59010.0,79590.0,106300.0,1.047687
13-2011,Accountants and Auditors,1435770,62720.0,79880.0,103990.0,1.481956
13-2031,Budget Analysts,47310,68540.0,84940.0,107470.0,1.502988
13-2041,Credit Analysts,73200,61600.0,79420.0,108430.0,1.345268
13-2051,Financial and Investment Analysts,325220,76880.0,99010.0,129970.0,1.380615
13-2052,Personal Financial Advisors,272190,65320.0,99580.0,169910.0,1.400749
13-2053,Insurance Underwriters,101310,61370.0,77860.0,102000.0,1.326652
13-2061,Financial Examiners,63440,63430.0,84300.0,121280.0,1.526064
13-2071,Credit Counselors,27950,41980.0,48570.0,59990.0,1.385381
13-2072,Loan Officers,321090,49130.0,69990.0,100020.0,1.385739
13-2081,"Tax Examiners and Collectors, and Revenue Agents",50250,45360.0,58530.0,78520.0,1.36682
13-2082,Tax Preparers,81650,35670.0,49010.0,76020.0,1.29371
13-2099,"Financial Specialists, All Other",122730,57930.0,78310.0,105060.0,1.361362
15-2011,Actuaries,25470,88420.0,120000.0,164320.0,1.516474
15-2021,Mathematicians,2220,81910.0,116440.0,148240.0,1.472319
15-2031,Operations Research Analysts,117880,66250.0,83640.0,115190.0,1.40002
15-2041,Statisticians,29950,78140.0,104110.0,134950.0,1.382724
17-1011,"Architects, Except Landscape and Naval",111170,73240.0,93310.0,116780.0,1.047142
17-1012,Landscape Architects,20370,61520.0,79320.0,97170.0,1.034388
17-1021,Cartographers and Photogrammetrists,12330,60430.0,76210.0,95610.0,0.8169979
17-1022,Surveyors,50740,50970.0,68540.0,91520.0,0.1460606
17-2011,Aerospace Engineers,66660,101730.0,130720.0,166610.0,1.338738
17-2021,Agricultural Engineers,1860,79620.0,88750.0,101030.0,0.9409636
17-2031,Bioengineers and Biomedical Engineers,19320,81370.0,100730.0,125780.0,0.9874239
17-2041,Chemical Engineers,21140,91630.0,112100.0,142810.0,1.341336
17-2051,Civil Engineers,327950,76500.0,95890.0,123010.0,1.282867
17-2061,Computer Hardware Engineers,82660,108670.0,138080.0,175400.0,1.141812
17-2071,Electrical Engineers,185430,83200.0,106950.0,137140.0,1.126725
17-2072,"Electronics Engineers, Except Computer",96410,93380.0,119200.0,151610.0,0.6654578
17-2081,Environmental Engineers,39880,78640.0,100090.0,125520.0,1.343561
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22510,81760.0,103690.0,131670.0,0.9948935
17-2112,Industrial Engineers,332870,79730.0,99380.0,124000.0,1.13787
17-2121,Marine Engineers and Naval Architects,9960,80620.0,100270.0,126870.0,0.5472173
17-2131,Materials Engineers,24630,80790.0,104100.0,133090.0,1.037278
17-2141,Mechanical Engineers,281290,79160.0,99510.0,126990.0,1.004709
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",7040,77730.0,100640.0,128920.0,1.34695
17-2161,Nuclear Engineers,12710,100500.0,125460.0,142700.0,1.303009
17-2171,Petroleum Engineers,20390,104020.0,135690.0,176990.0,1.247779
17-2199,"Engineers, All Other",150990,83250.0,111970.0,146060.0,0.787566
17-3011,Architectural and Civil Drafters,111070,49660.0,61820.0,77020.0,0.9233925
17-3012,Electrical and Electronics Drafters,20680,54970.0,69260.0,83870.0,0.910166
17-3013,Mechanical Drafters,44850,52000.0,64060.0,81380.0,0.8410071
17-3021,Aerospace Engineering and Operations Technologists and Technicians,10640,61490.0,77830.0,99440.0,0.3909402
17-3022,Civil Engineering Technologists and Technicians,63560,47920.0,60700.0,76570.0,0.9323219
17-3023,Electrical and Electronic Engineering Technologists and Technicians,97420,57990.0,72800.0,85680.0,0.3515252
