OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
11-1021,General and Operations Managers,3376680,62070.0,98100.0,154560.0,0.5748773
11-2011,Advertising and Promotions Managers,22010,85020.0,127830.0,172920.0,1.294387
11-2021,Marketing Managers,328570,103060.0,140040.0,198530.0,1.315032
11-2022,Sales Managers,536390,87910.0,130600.0,180390.0,1.26628
11-3021,Computer and Information Systems Managers,533220,127180.0,164070.0,207850.0,1.059853
11-3031,Financial Managers,740780,104150.0,139790.0,203720.0,1.446232
11-3051,Industrial Production Managers,211710,85350.0,107560.0,139430.0,0.5086878
11-3061,Purchasing Managers,75070,101790.0,131350.0,166980.0,1.423426
11-3071,"Transportation, Storage, and Distribution Managers",169910,75640.0,98560.0,130240.0,0.8907923
11-3111,Compensation and Benefits Managers,16850,99270.0,131280.0,172520.0,1.298235
11-3121,Human Resources Managers,181360,98230.0,130000.0,171170.0,1.320417
11-3131,Training and Development Managers,39550,88680.0,120000.0,161630.0,1.284423
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6250,53160.0,75760.0,103130.0,-0.1443684
11-9021,Construction Managers,303220,78950.0,101480.0,131280.0,1.029139
11-9031,"Education and Childcare Administrators, Preschool and Daycare",60010,40470.0,49690.0,63240.0,0.838007
11-9032,"Education Administrators, Kindergarten through Secondary",285910,80290.0,101320.0,128740.0,1.048811
11-9033,"Education Administrators, Postsecondary",167060,77010.0,99940.0,132010.0,1.461149
11-9039,"Education Administrators, All Other",50180,64460.0,89130.0,119520.0,0.3541265
11-9041,Architectural and Engineering Managers,197180,128420.0,159920.0,189130.0,0.8370105
11-9051,Food Service Managers,231100,48110.0,61310.0,77450.0,-0.1213112
11-9071,Gambling Managers,4800,61920.0,80710.0,114790.0,0.8299207
11-9081,Lodging Managers,39870,47000.0,61910.0,83630.0,0.4021726
11-9111,Medical and Health Services Managers,476750,81430.0,104830.0,143200.0,1.260259
11-9121,Natural Sciences Managers,82570,103780.0,144440.0,210330.0,1.327906
11-9131,Postmasters and Mail Superintendents,13460,76420.0,82760.0,91250.0,0.8233757
11-9141,"Property, Real Estate, and Community Association Managers",261120,45400.0,60670.0,84200.0,1.215396
11-9151,Social and Community Service Managers,162880,58590.0,74240.0,95420.0,1.156153
11-9161,Emergency Management Directors,11290,59480.0,79180.0,106200.0,1.030768
11-9199,"Managers, All Other",543290,92840.0,128620.0,168570.0,0.9646872
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13130,62910.0,82530.0,161340.0,1.068559
13-1031,"Claims Adjusters, Examiners, and Investigators",285270,57050.0,72230.0,85250.0,1.274024
13-1032,"Insurance Appraisers, Auto Damage",11430,60980.0,69380.0,80590.0,0.6634955
13-1041,Compliance Officers,359640,52490.0,71690.0,97050.0,0.6981205
13-1051,Cost Estimators,225310,53080.0,71200.0,93420.0,1.367669
13-1071,Human Resources Specialists,835360,49160.0,64240.0,86280.0,1.36005
13-1074,Farm Labor Contractors,550,34890.0,49330.0,72690.0,-0.4354025
13-1075,Labor Relations Specialists,62200,61240.0,82010.0,106230.0,1.334834
13-1081,Logisticians,202970,60020.0,77520.0,99400.0,1.297303
13-1111,Management Analysts,808860,70310.0,95290.0,127480.0,1.432417
13-1121,"Meeting, Convention, and Event Planners",112070,40030.0,52560.0,70230.0,0.3740207
13-1131,Fundraisers,94630,46930.0,61190.0,80230.0,1.242567
13-1141,"Compensation, Benefits, and Job Analysis Specialists",93550,52410.0,67780.0,89740.0,1.440985
