OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
11-1021,General and Operations Managers,3584420,67160.0,102950.0,164130.0,0.5748773
11-2011,Advertising and Promotions Managers,21100,85990.0,126960.0,178570.0,1.294387
11-2021,Marketing Managers,384980,111210.0,161030.0,211080.0,1.315032
11-2022,Sales Managers,603710,95910.0,138060.0,201490.0,1.26628
11-3021,Computer and Information Systems Managers,645970,134350.0,171200.0,216220.0,1.059853
11-3031,Financial Managers,818620,118360.0,161700.0,214210.0,1.446232
11-3051,Industrial Production Managers,234380,94620.0,121440.0,156330.0,0.5086878
11-3061,Purchasing Managers,81240,107430.0,139510.0,175460.0,1.423426
11-3071,"Transportation, Storage, and Distribution Managers",213000,78360.0,102010.0,136050.0,0.8907923
11-3111,Compensation and Benefits Managers,20070,105210.0,140360.0,190890.0,1.298235
11-3121,Human Resources Managers,215520,105590.0,140030.0,189960.0,1.320417
11-3131,Training and Development Managers,44960,96110.0,127090.0,169310.0,1.284423
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5910,67970.0,87980.0,115200.0,-0.1443684
11-9021,Construction Managers,348330,83480.0,106980.0,139330.0,1.029139
11-9031,"Education and Childcare Administrators, Preschool and Daycare",71620,45310.0,56270.0,72690.0,0.838007
11-9032,"Education Administrators, Kindergarten through Secondary",319630,83840.0,104070.0,132550.0,1.048811
11-9033,"Education Administrators, Postsecondary",176420,79880.0,103960.0,140940.0,1.461149
11-9039,"Education Administrators, All Other",53330,65180.0,89040.0,121720.0,0.3541265
11-9041,Architectural and Engineering Managers,210340,134930.0,167740.0,207210.0,0.8370105
11-9051,Food Service Managers,244230,53090.0,65310.0,82300.0,-0.1213112
11-9071,Gambling Managers,4620,70190.0,85580.0,120490.0,0.8299207
11-9081,Lodging Managers,41350,50040.0,68130.0,90670.0,0.4021726
11-9111,Medical and Health Services Managers,565840,88560.0,117960.0,162420.0,1.260259
11-9121,Natural Sciences Managers,100870,114110.0,161180.0,214820.0,1.327906
11-9131,Postmasters and Mail Superintendents,13810,87150.0,92730.0,99590.0,0.8233757
11-9141,"Property, Real Estate, and Community Association Managers",296640,49530.0,66700.0,95760.0,1.215396
11-9151,Social and Community Service Managers,195490,62420.0,78240.0,100600.0,1.156153
11-9161,Emergency Management Directors,12570,64470.0,86130.0,119690.0,1.030768
11-9199,"Managers, All Other",630980,100010.0,136550.0,179190.0,0.9646872
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",14220,63100.0,96310.0,168850.0,1.068559
13-1031,"Claims Adjusters, Examiners, and Investigators",305020,60100.0,76790.0,95990.0,1.274024
13-1032,"Insurance Appraisers, Auto Damage",7790,64280.0,76650.0,86430.0,0.6634955
13-1041,Compliance Officers,397770,59130.0,78420.0,104800.0,0.6981205
13-1051,Cost Estimators,219530,59830.0,77070.0,99630.0,1.367669
13-1071,Human Resources Specialists,917460,55870.0,72910.0,97270.0,1.36005
13-1074,Farm Labor Contractors,410,32860.0,48690.0,58250.0,-0.4354025
13-1075,Labor Relations Specialists,64590,67670.0,93500.0,123090.0,1.334834
13-1081,Logisticians,235640,62920.0,80880.0,104330.0,1.297303
13-1111,Management Analysts,893900,76770.0,101190.0,133140.0,1.432417
13-1121,"Meeting, Convention, and Event Planners",134670,45610.0,59440.0,77150.0,0.3740207
13-1131,Fundraisers,105930,52590.0,66490.0,85280.0,1.242567
13-1141,"Compensation, Benefits, and Job Analysis Specialists",102370,59700.0,77020.0,99210.0,1.440985
13-1151,Training and Development Specialists,436610,48900.0,65850.0,91550.0,1.198409
13-1161,Market Research Analysts and Marketing Specialists,861140,56220.0,76950.0,104870.0,1.426757
13-1199,"Business Operations Specialists, All Other",1128200,60820.0,81270.0,110030.0,1.047687
13-2011,Accountants and Auditors,1448290,64660.0,81680.0,106450.0,1.481956
13-2031,Budget Analysts,47170,72240.0,87930.0,110380.0,1.502988
13-2041,Credit Analysts,67370,63850.0,80970.0,113850.0,1.345268
13-2051,Financial and Investment Analysts,340580,78300.0,101350.0,132050.0,1.380615
13-2052,Personal Financial Advisors,270480,70620.0,102140.0,172540.0,1.400749
13-2053,Insurance Underwriters,107820,63070.0,79880.0,104820.0,1.326652
13-2061,Financial Examiners,62830,66800.0,90400.0,127210.0,1.526064
13-2071,Credit Counselors,28110,45420.0,50480.0,61760.0,1.385381
13-2072,Loan Officers,290530,50460.0,74180.0,101920.0,1.385739
13-2081,"Tax Examiners and Collectors, and Revenue Agents",53530,46820.0,59740.0,79330.0,1.36682
13-2082,Tax Preparers,73570,37750.0,50560.0,75590.0,1.29371
13-2099,"Financial Specialists, All Other",127450,60140.0,80190.0,109120.0,1.361362
15-2011,Actuaries,28340,90970.0,125770.0,164860.0,1.516474
15-2021,Mathematicians,2220,85720.0,121680.0,153340.0,1.472319
15-2031,Operations Research Analysts,107760,66910.0,91290.0,124120.0,1.40002
15-2041,Statisticians,29800,79210.0,103300.0,137610.0,1.382724
17-1011,"Architects, Except Landscape and Naval",111140,76110.0,96690.0,123300.0,1.047142
17-1012,Landscape Architects,19580,62650.0,79660.0,101580.0,1.034388
17-1021,Cartographers and Photogrammetrists,12790,62860.0,78380.0,99650.0,0.8169979
17-1022,Surveyors,53080,53590.0,72740.0,94550.0,0.1460606
17-2011,Aerospace Engineers,68440,104740.0,134830.0,174480.0,1.338738
17-2021,Agricultural Engineers,1680,49930.0,84630.0,103940.0,0.9409636
17-2031,Bioengineers and Biomedical Engineers,21860,86630.0,106950.0,133570.0,0.9874239
17-2041,Chemical Engineers,20330,96040.0,121860.0,152290.0,1.341336
17-2051,Civil Engineers,355410,78790.0,99590.0,128290.0,1.282867
17-2061,Computer Hardware Engineers,75710,115500.0,155020.0,185380.0,1.141812
17-2071,Electrical Engineers,188790,87590.0,111910.0,141630.0,1.126725
17-2072,"Electronics Engineers, Except Computer",93940,98920.0,127590.0,164000.0,0.6654578
17-2081,Environmental Engineers,37950,80510.0,104170.0,130830.0,1.343561
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",23220,85400.0,109660.0,136150.0,0.9948935
17-2112,Industrial Engineers,350230,81910.0,101140.0,127480.0,1.13787
17-2121,Marine Engineers and Naval Architects,8440,88480.0,105670.0,133780.0,0.5472173
17-2131,Materials Engineers,22770,85820.0,108310.0,138370.0,1.037278
17-2141,Mechanical Engineers,286760,81800.0,102320.0,130290.0,1.004709
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6770,81040.0,101020.0,129860.0,1.34695
17-2161,Nuclear Engineers,14740,103010.0,127520.0,157600.0,1.303009
17-2171,Petroleum Engineers,18970,107330.0,141280.0,191100.0,1.247779
17-2199,"Engineers, All Other",150750,85750.0,117750.0,152670.0,0.787566
17-3011,Architectural and Civil Drafters,109550,52880.0,64280.0,79510.0,0.9233925
17-3012,Electrical and Electronics Drafters,20020,58800.0,73720.0,91780.0,0.910166
17-3013,Mechanical Drafters,39900,56470.0,68510.0,85580.0,0.8410071
17-3021,Aerospace Engineering and Operations Technologists and Technicians,9060,64570.0,79830.0,102220.0,0.3909402
17-3022,Civil Engineering Technologists and Technicians,62130,51730.0,64200.0,79550.0,0.9323219
17-3023,Electrical and Electronic Engineering Technologists and Technicians,92710,60610.0,77180.0,94810.0,0.3515252
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,14680,58570.0,70760.0,87320.0,-0.3040507
17-3025,Environmental Engineering Technologists and Technicians,12500,48250.0,58890.0,75290.0,0.0438054
17-3026,Industrial Engineering Technologists and Technicians,73410,53230.0,64790.0,79040.0,0.6106679
17-3027,Mechanical Engineering Technologists and Technicians,37450,57330.0,68730.0,82980.0,-0.1192367
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",64410,59700.0,77390.0,97760.0,0.1941278
17-3031,Surveying and Mapping Technicians,56720,44180.0,51940.0,65240.0,0.0852324
19-1011,Animal Scientists,2470,59610.0,79120.0,128450.0,1.041358
19-1012,Food Scientists and Technologists,14370,65240.0,85310.0,111700.0,0.7943575
19-1013,Soil and Plant Scientists,16600,57950.0,71410.0,98110.0,0.6320696
19-1020,Biological Scientists,130910,67720.0,93340.0,125990.0,0.752081
19-1021,Biochemists and Biophysicists,34520,78730.0,103650.0,134460.0,0.9060509
19-1022,Microbiologists,19760,63920.0,87330.0,120750.0,0.6955647
19-1023,Zoologists and Wildlife Biologists,16920,58360.0,72860.0,90590.0,0.3175953
19-1029,"Biological Scientists, All Other",59710,67950.0,93330.0,121350.0,1.010193
19-1031,Conservation Scientists,25590,53190.0,67950.0,87980.0,0.0690313
19-1032,Foresters,9650,58810.0,70660.0,85450.0,-0.184381
19-1041,Epidemiologists,11460,68040.0,83980.0,106040.0,1.436287
19-1042,"Medical Scientists, Except Epidemiologists",156300,77260.0,100590.0,133870.0,1.279928
19-2011,Astronomers,1560,94990.0,132170.0,177690.0,1.373737
19-2012,Physicists,21340,117450.0,166290.0,210260.0,1.345736
19-2021,Atmospheric and Space Scientists,8780,69440.0,97450.0,128940.0,1.373917
19-2031,Chemists,83250,63930.0,84150.0,120210.0,0.5011251
19-2032,Materials Scientists,8330,79980.0,104160.0,134140.0,1.032757
19-2041,"Environmental Scientists and Specialists, Including Health",84930,62090.0,80060.0,103730.0,1.014113
19-2042,"Geoscientists, Except Hydrologists and Geographers",22510,72440.0,99240.0,134350.0,0.7143481
19-2043,Hydrologists,5720,73330.0,92060.0,114940.0,0.6405071
19-2099,"Physical Scientists, All Other",22580,82450.0,117960.0,154900.0,1.140157
19-3011,Economists,15880,82260.0,115440.0,166030.0,1.403764
19-3022,Survey Researchers,7720,46110.0,63380.0,85370.0,1.42653
19-3032,Industrial-Organizational Psychologists,1050,80790.0,109840.0,198170.0,1.402475
19-3039,"Psychologists, All Other",17790,73820.0,117580.0,145200.0,1.389854
19-3041,Sociologists,2950,78150.0,101690.0,134780.0,1.411125
19-3051,Urban and Regional Planners,43040,66210.0,83720.0,104450.0,1.227516
19-3091,Anthropologists and Archeologists,8070,51240.0,64910.0,83080.0,0.6965665
19-3092,Geographers,1380,75590.0,97200.0,117190.0,1.436298
19-3093,Historians,3140,55190.0,74050.0,96330.0,1.098921
19-3094,Political Scientists,5950,103030.0,139380.0,172050.0,1.418863
19-3099,"Social Scientists and Related Workers, All Other",36970,79210.0,100340.0,127880.0,1.328048
19-4021,Biological Technicians,76190,45380.0,52000.0,66410.0,0.3012355
19-4031,Chemical Technicians,55640,46680.0,57790.0,72940.0,0.0628057
19-4051,Nuclear Technicians,5990,83330.0,104240.0,113710.0,0.1696743
19-4061,Social Science Research Assistants,32940,46190.0,58040.0,73060.0,1.204652
19-4092,Forensic Science Technicians,19450,53310.0,67440.0,88710.0,0.2400518
19-4099,"Life, Physical, and Social Science Technicians, All Other",71400,46270.0,60130.0,77990.0,0.4501044
21-1012,"Educational, Guidance, and Career Counselors and Advisors",342350,51690.0,65140.0,83490.0,0.9739287
21-1013,Marriage and Family Therapists,65870,48600.0,63780.0,85020.0,1.367434
21-1015,Rehabilitation Counselors,88930,38700.0,46110.0,59040.0,0.5025014
21-1021,"Child, Family, and School Social Workers",382960,47480.0,58570.0,74060.0,0.7761707
21-1022,Healthcare Social Workers,185940,55360.0,68090.0,83410.0,0.9339648
21-1023,Mental Health and Substance Abuse Social Workers,125910,46550.0,60060.0,78980.0,1.119216
21-1091,Health Education Specialists,65150,49880.0,63000.0,84460.0,0.691658
21-1092,Probation Officers and Correctional Treatment Specialists,86820,52580.0,64520.0,84030.0,0.5272448
21-1093,Social and Human Service Assistants,424220,37770.0,45120.0,53040.0,0.4652255
21-1094,Community Health Workers,60730,44370.0,51030.0,63150.0,0.0371229
21-2011,Clergy,58080,47220.0,60820.0,76340.0,1.282559
21-2021,"Directors, Religious Activities and Education",21460,42210.0,54840.0,74990.0,1.210922
23-1011,Lawyers,747750,99760.0,151160.0,215420.0,1.328783
23-1012,Judicial Law Clerks,13220,49840.0,60400.0,78060.0,1.462973
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",16230,76920.0,115230.0,161290.0,1.374714
23-1022,"Arbitrators, Mediators, and Conciliators",7860,60030.0,67710.0,101010.0,1.431593
23-1023,"Judges, Magistrate Judges, and Magistrates",25580,86060.0,156210.0,189890.0,1.496494
23-2011,Paralegals and Legal Assistants,367220,48190.0,61010.0,78280.0,1.292055
23-2093,"Title Examiners, Abstractors, and Searchers",48170,45020.0,54980.0,70290.0,1.279954
25-1011,"Business Teachers, Postsecondary",81780,63040.0,97270.0,140360.0,1.349314
25-1021,"Computer Science Teachers, Postsecondary",36240,65200.0,96690.0,132200.0,1.277778
25-1022,"Mathematical Science Teachers, Postsecondary",48820,60880.0,79350.0,106270.0,1.338676
25-1031,"Architecture Teachers, Postsecondary",9120,78090.0,101480.0,129310.0,1.222022
25-1032,"Engineering Teachers, Postsecondary",39910,80060.0,106120.0,136400.0,1.351133
25-1041,"Agricultural Sciences Teachers, Postsecondary",8700,63980.0,86350.0,123290.0,0.7546685
25-1042,"Biological Science Teachers, Postsecondary",53250,64010.0,83460.0,125310.0,1.227677
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1310,81380.0,100830.0,125080.0,1.260278
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11480,66620.0,101390.0,135500.0,1.306156
25-1052,"Chemistry Teachers, Postsecondary",20390,64980.0,86220.0,125920.0,1.333947
25-1053,"Environmental Science Teachers, Postsecondary",7130,64360.0,87710.0,124680.0,1.347519
25-1054,"Physics Teachers, Postsecondary",13590,66730.0,97360.0,130150.0,1.044191
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5260,67410.0,95770.0,122870.0,1.321694
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11430,64320.0,84290.0,107810.0,1.308699
25-1063,"Economics Teachers, Postsecondary",12420,80850.0,119980.0,166600.0,1.319012
25-1064,"Geography Teachers, Postsecondary",3290,66400.0,86730.0,120220.0,1.318899
25-1065,"Political Science Teachers, Postsecondary",17170,65330.0,94680.0,127480.0,1.368397
25-1066,"Psychology Teachers, Postsecondary",41610,62290.0,80330.0,106640.0,1.33366
25-1067,"Sociology Teachers, Postsecondary",12380,64130.0,82540.0,113000.0,1.349229
25-1071,"Health Specialties Teachers, Postsecondary",229720,74400.0,105620.0,176090.0,0.924754
25-1072,"Nursing Instructors and Teachers, Postsecondary",74250,62210.0,79940.0,102020.0,0.5170682
25-1081,"Education Teachers, Postsecondary",59090,50630.0,72090.0,96260.0,1.192988
25-1082,"Library Science Teachers, Postsecondary",4100,62130.0,78630.0,97020.0,1.386292
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13560,56100.0,71470.0,99730.0,1.389999
25-1112,"Law Teachers, Postsecondary",22800,84540.0,126650.0,173580.0,1.35645
25-1113,"Social Work Teachers, Postsecondary",13350,57080.0,76210.0,98570.0,1.347327
25-1121,"Art, Drama, and Music Teachers, Postsecondary",97890,60730.0,80190.0,121600.0,0.7582769
25-1122,"Communications Teachers, Postsecondary",29260,60060.0,77800.0,103230.0,1.347435
25-1123,"English Language and Literature Teachers, Postsecondary",59590,59780.0,78270.0,103730.0,1.417833
25-1124,"Foreign Language and Literature Teachers, Postsecondary",21170,59790.0,77010.0,101680.0,1.33412
25-1125,"History Teachers, Postsecondary",19860,62370.0,81500.0,106770.0,1.43749
25-1126,"Philosophy and Religion Teachers, Postsecondary",20840,60980.0,78050.0,101680.0,1.363522
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2630,56870.0,77280.0,99530.0,1.211652
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",12680,57290.0,75890.0,101420.0,1.16489
25-1194,"Career/Technical Education Teachers, Postsecondary",111150,48030.0,61490.0,80070.0,0.1622185
25-2011,"Preschool Teachers, Except Special Education",445080,31250.0,37120.0,46550.0,0.0306372
25-2012,"Kindergarten Teachers, Except Special Education",114410,50290.0,61430.0,77720.0,0.3644047
25-2021,"Elementary School Teachers, Except Special Education",1393310,50680.0,62340.0,79410.0,0.8869491
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",620370,53540.0,62970.0,79380.0,1.286445
25-2023,"Career/Technical Education Teachers, Middle School",14200,55920.0,63620.0,78270.0,0.5199191
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1072540,57800.0,64580.0,83010.0,1.191325
25-2032,"Career/Technical Education Teachers, Secondary School",104450,58840.0,63910.0,78650.0,0.3734505
25-2051,"Special Education Teachers, Preschool",28200,49370.0,62190.0,81330.0,0.3750564
25-2052,"Special Education Teachers, Kindergarten and Elementary School",231570,57050.0,63000.0,79320.0,0.7357486
25-2059,"Special Education Teachers, All Other",39350,53470.0,67430.0,87890.0,-0.6632917
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36260,47950.0,59950.0,76580.0,1.348951
25-3021,Self-Enrichment Teachers,308520,35410.0,45590.0,62180.0,0.526352
25-3099,"Teachers and Instructors, All Other",125010,46700.0,64690.0,93180.0,1.32533
25-4011,Archivists,7050,47890.0,61570.0,79850.0,0.6765602
25-4012,Curators,12280,47270.0,61770.0,81350.0,0.7366658
25-4013,Museum Technicians and Conservators,13070,37460.0,47460.0,62990.0,-0.0912107
25-4031,Library Technicians,73770,33510.0,39970.0,49740.0,0.037965
25-9021,Farm and Home Management Educators,10260,46010.0,58120.0,69110.0,0.8604031
25-9031,Instructional Coordinators,210850,59120.0,74720.0,94780.0,1.301855
27-1011,Art Directors,50370,80130.0,111040.0,160460.0,1.02251
27-1012,Craft Artists,4370,31350.0,38480.0,52070.0,-0.9295284
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",10000,39740.0,60560.0,89630.0,-0.5690498
27-1014,Special Effects Artists and Animators,21280,73030.0,99800.0,135600.0,0.7058651
27-1021,Commercial and Industrial Designers,30250,62040.0,79450.0,103170.0,0.867039
27-1022,Fashion Designers,20910,53730.0,80690.0,107990.0,0.5801539
27-1023,Floral Designers,40160,30200.0,36120.0,43420.0,-0.2718452
27-1024,Graphic Designers,214260,47200.0,61300.0,79000.0,0.7156958
27-1025,Interior Designers,69580,49770.0,63490.0,80830.0,1.12168
27-1026,Merchandise Displayers and Window Trimmers,192480,33580.0,37350.0,44750.0,-1.001413
27-1027,Set and Exhibit Designers,10850,48920.0,66280.0,100020.0,-0.0519323
27-2012,Producers and Directors,145270,59810.0,83480.0,131160.0,0.9388108
27-2021,Athletes and Sports Competitors,14370,36750.0,62360.0,130770.0,-1.814336
27-2022,Coaches and Scouts,250940,33960.0,45920.0,61930.0,0.1168668
27-2023,"Umpires, Referees, and Other Sports Officials",15080,30920.0,38820.0,53560.0,-0.0325617
27-2032,Choreographers,3430,39600.0,55600.0,71190.0,-1.575769
27-2041,Music Directors and Composers,12330,47330.0,63670.0,96590.0,0.8829641
27-3011,Broadcast Announcers and Radio Disc Jockeys,23880,33280.0,45680.0,72080.0,0.8493547
27-3031,Public Relations Specialists,280590,51970.0,69780.0,95940.0,1.284927
27-3041,Editors,95480,50210.0,75260.0,101210.0,1.128221
